[page=1]
序号	代码	名称	现价	涨跌幅(%)	涨跌	涨速(%)	换手(%)	量比	振幅(%)	成交额	流通股	流通市值	市盈率
1	920269	N杰锋	41.25	34.37	10.55	0.00	94.31	--	24.89	3.76亿	889.95万	3.67亿	16.87
2	603448	N天博	83.48	33.25	20.83	0.04	71.19	--	42.67	15.54亿	2351.68万	19.63亿	30.78
3	920821	则成电子	23.59	29.97	5.44	0.00	20.52	4.44	29.31	3.29亿	7285.34万	17.19亿	921.76
4	300112	万讯自控	10.55	20.02	1.76	0.00	15.80	1.53	20.02	3.89亿	2.48亿	26.13亿	亏损
5	688655	迅捷兴	50.52	20.00	8.42	0.00	9.57	1.26	15.96	6.21亿	1.33亿	67.39亿	236.23
6	301516	中远通	19.98	20.00	3.33	0.00	42.20	2.91	20.06	5.39亿	7017.54万	14.02亿	亏损
7	688001	华兴源创	58.26	20.00	9.71	0.00	4.10	2.29	18.00	10.92亿	4.72亿	274.73亿	144.76
8	688813	泰金新能	122.77	20.00	20.46	0.00	28.90	2.55	16.39	10.10亿	3007.70万	36.93亿	113.05
9	301550	斯菱智驱	97.75	20.00	16.29	0.00	8.12	1.98	11.18	15.89亿	2.05亿	200.60亿	212.27
10	920045	蘅东光	549.50	18.86	87.20	0.00	8.54	1.54	17.76	12.46亿	2817.85万	154.84亿	85.95
11	301529	福赛科技	125.70	17.48	18.70	0.07	9.71	2.47	14.85	7.62亿	6356.67万	79.90亿	102.98
12	300684	中石科技	104.36	17.39	15.46	1.32	22.43	1.73	19.32	45.16亿	2.05亿	213.49亿	113.27
13	301511	德福科技	99.48	16.97	14.43	0.22	13.89	1.50	17.81	52.94亿	3.99亿	396.57亿	119.00
14	301595	太力科技	43.18	16.73	6.19	0.00	12.45	6.46	20.25	2.15亿	4083.25万	17.63亿	112.95
15	300811	铂科新材	84.50	16.62	12.04	0.04	7.58	2.73	15.68	20.37亿	3.35亿	282.86亿	76.36
16	688498	源杰科技	1702.00	16.10	236.00	0.06	4.59	2.04	14.87	90.05亿	1.23亿	2091.62亿	174.53
17	300488	恒锋工具	36.08	15.57	4.86	-0.06	8.71	3.65	18.26	4.95亿	1.62亿	58.54亿	32.31
18	688678	福立旺	23.04	15.37	3.07	0.00	10.49	2.67	16.02	9.48亿	4.03亿	92.88亿	67.81
19	688700	东威科技	61.85	15.09	8.11	0.02	8.98	2.20	16.32	16.04亿	2.98亿	184.56亿	93.10
20	301312	智立方	86.96	15.04	11.37	0.00	11.57	1.82	13.85	8.20亿	8477.39万	73.72亿	158.09
[page=2]
序号	代码	名称	现价	涨跌幅(%)	涨跌	涨速(%)	换手(%)	量比	振幅(%)	成交额	流通股	流通市值	市盈率
